0x02000004: wIME
0x02036bb8: copy_03002cc0
0x02036dbe: GameMode
0x02036dc2: PlayerRankSnapshot
0x02036dcc: RNG_Minigame
0x02036dd0: StageStateCopy_02036dd0
0x02036e24: StageStateCopy_02036e24
0x02036e78: SecretDisk
0x02036ea8: SecretDiskSnapshot
0x02036ec8: SecretDiskCopy2
0x02036ed8: UnlockedCyberElf
0x02036f24: UnlockedCyberElfSnapshot
0x02036f70: Progress
0x02036fc0: SavedGamePlaySetting
0x02036ff0: ZeroAssetSnapshot
0x0203700c: pZeroState_0203700c
0x02037010: pZeroState_3
0x02037020: ElfStates
0x02037c60: Zero
0x02037d60: PreviousXPos
0x02037ef0: GameStates_02037ef0
0x0203a5f0: Statics
0x0203b6d0: BossStates
0x0203ba60: BossState
0x0203bb04: BossHP
0x0203bb50: MenuComponents
0x0203dc50: pSecretDisk
0x0203dc54: StageSecretDiskIDs
0x0203dc5e: StageSDCount
0x0203dc60: gSoundInfo
0x0203e670: gCgbChans
0x0203f358: MaybeUsingDoor
